elapsed_s,cpu_pct,rss_kb,sonar_up
30,69.4,2336,0
60,107.1,467968,0
90,108.5,363472,0
120,107.2,288736,0
150,169.5,450848,1
180,185.7,317952,1
210,150.6,285456,1
240,172.6,327216,1
270,175.9,329056,1
300,189.1,328704,1
330,184.8,325296,1
360,198.2,318400,1
390,198.8,326768,1
420,170.5,329264,1
450,201.1,342144,1
480,190.4,343760,1
510,165.5,340240,1
540,176.4,308256,1
570,191.0,320912,1
600,171.9,327536,1
630,166.0,331184,1
660,163.5,321264,1
690,179.1,331472,1
720,184.6,328128,1
750,194.7,330912,1
780,172.4,330800,1
810,181.6,315408,1
840,167.9,320256,1
870,165.2,325408,1
900,168.4,321744,1
