elapsed_s,cpu_pct,rss_kb,sonar_up
30,40.1,77680,0
60,110.2,487968,1
90,108.6,379344,1
120,106.8,380560,1
150,192.9,414992,1
180,175.9,386928,1
210,158.2,388672,1
240,165.4,396048,1
270,168.1,339568,1
300,164.8,338080,1
330,168.6,335648,1
360,163.7,331680,1
390,177.7,291104,1
420,177.8,294432,1
450,178.4,293168,1
480,174.0,288432,1
510,178.0,285360,1
540,182.1,282032,1
570,167.0,284176,1
600,161.2,284944,1
630,155.3,296544,1
660,190.2,294016,1
690,177.0,301968,1
720,156.1,292752,1
750,164.6,298608,1
780,170.7,269632,1
810,156.7,274464,1
840,165.1,289600,1
870,175.8,286368,1
900,173.9,287936,1
